Name,Address,PhoneNumber,BreweryType,Website
15-24 Brew House,"420 Lincoln Ave.Clay Center, KS 67432",(913) 360-9927,Brewpub,
16 Lots Brewing,"753 Reading RdMason, OH 45040-1303",(513) 486-3672,Brewpub,http://www.16lots.com
16 Stone Brewpub,"9542 Main StHolland Patent, NY 13354",(315) 865-8500,Brewpub,http://www.16stonebrewpub.com
"1623 Brewing CO, llc","5975 Exchange Dr,Eldersburg, MD 21784",(443) 218-1412,Taproom,http://www.1623brewing.com
1717 Brewing Co,"322 E Court AveDes Moines, IA 50309",(515) 243-7868,Taproom,http://www.1717brewing.com
1718 Ocracoke Brewing,"1129 Irvin Garrish HwyOcracoke, NC 27960",(252) 928-2337,Brewpub,http://www.ocracokebrewing.com
1766 Brewing Company,"7  Route 25Plymouth, NH 03264-3141",(603) 236-6850,Micro,
1774 Brewing,"2609 N Moore AveMoore, OK 73160",,Micro,
1781 Brewing Company,"11109 Plank RdSpotsylvania, VA 22553-4258",(540) 841-2598,Taproom,
1787 Brewing Company,"43 S Fourth StHamburg, PA 19526",(484) 665-3032,Brewpub,http://www.1787brewingcompany.com
180 and Tapped,"2010 A State AveCoraopolis, PA 15108",(412) 737-5273,Micro,http://www.180andtapped.com
1803 Brewery and Taproom,"123 Harding Way EastGalion, OH 44833-1902",567-393-9394,Taproom,
1812 Brewery,"13006 Mason RoadCumberland, MD 21502",(301) 876-1808,Taproom,http://1812brewery.com
1817 Brewery,"100 B South Olive Stokolona, MS 38860",(662) 305-5907,Micro,
1840 Brewing Company,"342 E Ward StMilwaukee, WI 53207-1348",(414) 236-4056,Taproom,http://www.1840brewing.com
1849 Brewing Company,"468 Sutton WayGrass Valley, CA 95945",(530) 477-1849,Brewpub,http://www.1849brewingco.com
1850 Brewing Company,"5176 G Highway 49NMariposa, CA 95338",,Micro,http://www.1850brewingcompany.com
18th Street Brewery,"5725 Miller AveGary, IN 46403-2871",,Micro,http://www.18thstreetbrewery.com
18th Street Brewery,"5417 Oakley AveHammond, IN 46320-1817",,Micro,
18th Ward Brewing Co.,"300 Richardson StreetBrooklyn, NY 11222",(718) 387-4025,Brewpub,http://https://www.18thwardbrewing.com/
1912 Brewing,"2045 N Forbes Blvd Ste 105Tucson, AZ 85745-1444",(520) 256-4851,Taproom,http://www.1912brewing.com
192 Brewing,"7324 NE 175th StKenmore, WA 98028-2500",(425) 424-2337,Taproom,http://www.192brewing.com
1933 Brewing Co,"3755 Southern Blvd SERio Rancho, NM 87124",(505) 404-9882,Brewpub,http://www.1933brewingco.com
1940's Brewing Company,"1337 Lincoln Ave Unit 1Holbrook, NY 11741-2275",631-533-4838,Taproom,http://www.1940sbrewingcompany.com
1st Republic Brewing Co,"39 River Rd Ste 6Essex Junction, VT 05452-3879",(802) 857-5318,Micro,http://www.1strepublic-homebrew.com
2 Basset Brewery,"202 E Main StWhite Sulphur Springs, MT 59645-9081",(406) 547-2337,Taproom,http://www.2bassetbrewery.com
2 Dogz and A Guy Brewing,"228 Church StMontrose, PA 18801-1271",(570) 432-0069,Taproom,http://2dogzandaguybrewing.com
2 Doors Down Brewing,"112 Warner CtClinton, IL 61727",217-570-0776,Taproom,http://https://www.facebook.com/2DoorsDownBrewery/
2 Feet Brewing Company,"80 Columbia StBangor, ME 04401-6319",207-573-1979  ,Brewpub,http://www.2feetbrewing.com
2 Row Brewing,"6856 S 300 WMidvale, UT 84047-1083",(801) 987-8663,Taproom,http://www.2rowbrewing.com
2 Silos Brewing Company,"ATTN FORRESTManassas, VA 20109",(703) 420-2257,Brewpub,http://www.2silosbrewing.com
2 Tones Brewing Co.,"4539 E Broad StColumbus, OH 43213",(740) 412-0845,Taproom,http://www.2tonesbrewingco.com
2 Way Brewing Company,"18 W Main StBeacon, NY 12508-2512",(845) 202-7334,Micro,http://www.2waybrewingcompany.com
2 Witches Winery and Brewing Company,"209 Trade StDanville, VA 24541-3545",(434) 549-2739,Taproom,http://www.2witcheswinebrew.com
20 Corners Brewing LLC,"14148 NE 190th St Ste AWoodinville, WA 98072-8437",(425) 375-5223,Brewpub,http://www.20cornersbrewing.com
210 Brewing Co,"3438 Stoluckquamish LnArlington, WA 98223-9056",(360) 572-3902,Brewpub,
217 Brew Works,"217 South St SWilson, NC 27893-4911",(252) 991-6959,Taproom,
21st Amendment Brewery,"2010 Williams St Unit ASan Leandro, CA 94577-2334",(510) 595-2111,Regional,http://www.21st-Amendment.com
21st Amendment Brewery Cafe,"563 2nd StSan Francisco, CA 94107-1411",(415) 369-0900,Brewpub,http://www.21st-amendment.com
22 Lakes Brewing Co.,"107 W Fulton StWaupaca, WI 54981",,Taproom,http://www.22lakesbrewingco.com
22 Northmen Brewing Company,"6693 County Road 34 NWAlexandria, MN 56308-9857",(320) 846-5443,Brewpub,http://www.22northmen.com
23rd Street Brewery,"3512 Clinton PkwyLawrence, KS 66047-2145",(785) 856-2337,Brewpub,http://www.brew23.com
25 O'Clock Brewing Company,"208 W Griggs StUrbana, IL 61801",,Taproom,http://www.25oclock.net
25 West Brewing Co,"327 Stratford Square MallBloomingdale, IL 60108",(630) 351-2500,Brewpub,http://www.25westbrew.com
256 North Restaurant,"256 Petaluma Blvd NPetaluma, CA 94952",(707) 766-0799,Brewpub,http://https://256north.com
26 Degree Brewing Company,"2600 E Atlantic BlvdPompano Beach, FL 33062-4940",(954) 532-6964,Micro,
27A Brewing Company,"173 North Wellwood AvenueLindenhurst, NY 11757",(631) 450-4156,Taproom,http://https://www.instagram.com/27abrewing/
2C Family Brewing Co.,"1215 1st St SNampa, ID 83651-3957",(208) 995-4802,Taproom,
2Kids Brewing Company,"8680 Miralani Dr Ste 123San Diego, CA 92126-6391",(858) 480-5437,Taproom,http://www.2kidsBrewing.com
2SP Brewing Company,"120 Concord RdAston, PA 19014-2909",(484) 483-7860,Micro,http://www.2spbrewing.com
2Toms Brewing Company,"3676 N Wells StFort Wayne, IN ",(260) 402-7644,Brewpub,http://www.2tomsbrewing.com
2nd Bridge Brewing Co,"642 Hilliard Street Manchester , CT 06042",(860) 978-4641,Taproom,http://www.2ndbridgebrewing.com
"2nd Phase Brewing
","1004 19th StBakersfield, CA 93301",661-404-4278,Taproom,http://www.2ndphasebrewing.com
2nd Shift Brewing Co,"1601 Sublette AveSaint Louis, MO 63110-1924",(618) 791-0728,Micro,http://www.2ndshiftbrewing.com
2nd Story Brewing Company,"117 Chestnut St FrntPhiladelphia, PA 19106-4700",(267) 314-5770,Brewpub,http://www.2ndstorybrewing.com/
3 Bridges Brewing,"2107 Tamiami Trl SVenice, FL 34293-5011",(941) 468-8100,Brewpub,
3 Car Garage Brewing Co,"8405 Heritage Green Way Bradenton , FL 34212",(941) 809-8694,Taproom,http://www.3cargaragebrewing.com
3 Daughters Brewing,"222 22nd St SSaint Petersburg, FL 33712-1240",(727) 495-6002,Regional,http://www.3dbrewing.com
3 Disciples Brewing,"501 Mendocino AveSanta Rosa, CA 95401",(707) 978-2459,Proprietor,http://www.3dbrews.com
3 Freaks Brewing Co,"7140 E County Line RdHighlands Ranch, CO 80126-3926",(720) 299-0994,Taproom,http://www.3freaksbrewery.com
3 Iron Brewing Company,"898 Via Lata Ste AColton, CA 92324-3920",(909) 533-4892,Taproom,http://www.3ironbrewingco.com
"3 Keys Brewing Company, LLC","2505 Manatee Ave EBradenton, FL 34208-2421",(941) 218-0396,Brewpub,http://www.3keysbrewing.com
3 Nations Brewing,"2405 Squire Pl Ste 200Farmers Branch, TX 75234-4714",(469) 660-7184,Micro,http://www.threenationsbrewing.com
3 Sheeps Brewing Co,"1837 North AveSheboygan, WI 53083-4620",(920) 946-9715,Micro,http://www.3sheepsbrewing.com
3 Sheets Brewery,"136 W 1st AveAlbany, OR 97321",(541) 619-0183,Taproom,http://www.3sheetsbrewery.com
3 Sons Brewing Co.,"236 N Federal HwyDania Beach, FL 33004-2870",(954) 601-3833,Brewpub,http://www.3sonsbrewingco.com
3 Stars Brewing Co,"6400 Chillum Pl NWWashington, DC 20012",(202) 498-7401,Micro,http://www.3starsbrewing.com
3 Trails Brewing,"111 N Main StIndependence, MO 64050",(816) 886-6256,Taproom,http://www.3trailsbrewing.com
30 Mile Brewing Co.,"39 Ragged Rock Rd Unit 5Old Saybrook, CT 06475-1518",(860) 339-5238,Micro,http://www.30milebrewingco.com
300 Suns Brewing Company,"335 1st Ave Unit CLongmont, CO 80501-5958",,Brewpub,http://www.300sunsbrewing.com
32 North Brewing Co,"8655 Production Ave Ste ASan Diego, CA 92121-2258",(619) 363-2622,Micro,
34 Degree North Experiment Station,"4802 Main StShallotte, NC 28470",,Taproom,
350 Brewing Co,"7144 183rd StTinley Park, IL 60477",(708) 825-7339,Brewpub,http://www.350brewing.com
38°-75° Brewing,"2000 Coastal Highway STE 105Rehoboth Beach, DE 19971",(302) 227-8519,Brewpub,
"3Halves Brewing Co, LLC","110 E Kansas St Liberty MOLIBERTY, MO 64068",(660) 654-1689,Taproom,http://3Halvesbrewingco.com
3cross Fermentation Cooperative,"4 Knowlton AveWorcester, MA 01603",(508) 615-8195,Micro,http://3cross.coop
3rd Act Craft Brewery,"4120 Radio DrWoodbury, MN 55129",(651) 714-1524,Taproom,http://www.3rdactbrew.com
3rd Planet Brewing,"1400 E John Sims PkwyNiceville, FL 32578",(820) 424-4257,Micro,http://www.3rdplanetbrewing.com
3rd Planet Brewing,"120 Partin Dr NNiceville, FL 32578-2053",(850) 502-9952,Micro,
3rd Turn Brewing,"10408 Watterson TrlLouisville, KY 40299-3702",(502) 482-3373,Taproom,http://www.3rdturnbrewing.com
3rd Turn Oldham Gardens,"6300 Old Lagrange RdCrestwood, KY 40014",(502) 482-3373,Taproom,
3rd Wave Brewing Co,"501 N Bi State BlvdDelmar, DE 19940-1106",(302) 907-0423,Taproom,http://www.3rdwavebrewingco.com
4 By 4 Brewing Company,"2811 E Galloway St Ste ASpringfield, MO 65804-4601",,Taproom,http://www.4by4brewingcompany.com
4 Hands Brewing Co,"1220 S 8th StSaint Louis, MO 63104-3610",(314) 436-1559,Regional,
4 Noses Brewing Company,"8855 W 116th Cir Ste 3Broomfield, CO 80021-2521",(720) 460-2797,Micro,http://4nosesbrewing.com
406 Brewing Company,"111 E Oak St.Bozeman, MT 59715-2967",(406) 585-3745,Brewpub,http://www.406brewingcompany.com
412 Brews,"706 Island AveMc Kees Rocks, PA 15136",,Taproom,http://www.412brews.com
42 North Brewing Company,"25 Pine StEast Aurora, NY 14052-1827",(716) 805-7500,Brewpub,http://www.42northbrewing.com
4204 Main Street Brewing Co,"6435 W MAIN STBelleville, IL 62223-3801",(618) 416-7261,Brewpub,
4204 Main Street Brewing Co,"4204 W Main StBelleville, IL 62226",(618) 416-7261,Micro,http://www.mainstreetbrewingco.com
450 North Brewing Company @ Simmons Winery,"8111 E 450 NColumbus, IN 47203-8106",(812) 546-0091,Brewpub,http://www.450northbrewing.com
47 Hills Brewing Co,"137 S Linden AveSouth San Francisco, CA 94080-6410",(650) 867-8476,Brewpub,http://47hillsbrewingcompany.com
49th State Brewing Co,"717 West 3rd AveAnchorage, AK 99501",(907) 301-2927,Brewpub,http://www.49statebrewing.com
49th State Brewing Co - Anchorage,"717 W 3rd AveAnchorage, AK 99501-2104",(907) 683-2739,Brewpub,http://www.49statebrewing.com/
4J Brewing Company,"1348 Cedar Post LaneHouston, TX 77055",(713) 678-0776,Taproom,http://4jbrewingcompany.com
4kd Crick Brewery,"211 Carpenter RdDefiance, OH 43512-1718",(419) 956-2863,Brewpub,http://Www.4kdcrickbrewery.com
4th Tap Brewing Cooperative,"10615 Metric BlvdAustin, TX 78758-4520",(512) 908-9817,Micro,
5 Alarm Brewing Co,"211 W Main StLake Mills, IA 50450",(641) 592-2739,Taproom,
5 Arch Brewing,"206 N Morton AveCenterville, IN 47330",(765) 755-0055,Micro,http://www.5archbrewing.com
5 Lakes Brewing Co.,"1638 142nd AveDorr, MI 49323-9312",(616) 359-9555,Brewpub,http://www.5lakesbrewing.com
"5 North Brewing Company
","6501 N Cedar Rd Ste 1Spokane, WA 99208-4571",(509) 321-7818,Brewpub,
5 Rabbit Cerveceria Inc,"6398 W 74th StChicago, IL 60638-6129",(312) 895-9591,Micro,http://www.5rabbitbrewery.com
5 Rights Brewing Co,"1514 3rd StMarysville, WA 98270",(425) 334-1026,Taproom,http://www.5rightsbrewing.com
5 Stones Artisan Brewery,"11335 Farm To Market Road 1863New Braunfels, TX 78132",(210) 380-8215,Taproom,
509 Bierwerks,"200 S Columbia St Ste 100Wenatchee, WA 98801",(509) 888-9028,Brewpub,
515 Brewing Co,"7700 University AveClive, IA 50325-1271",(515) 661-4615,Taproom,http://www.515brewing.com
5150 Brewery At The Brass Tap Rocklin,"5150 Commons Dr Ste 101Rocklin, CA 95677-3925",(916) 246-2729,Brewpub,http://www.brasstaprocklin.com
5168 Brewing Company,"5730 Hidcote Dr.Lincoln, NE 68516",(402) 875-5588,Brewpub,http://http://www.5168brewing.com/
51st State Brewing Company,"115 Harding AveKingsford, MI 49802-3815",(906) 828-2167,Brewpub,http://www.51ststatebrewingcompany.com
54-40 Brewing Company,"3801 S Truman Rd Ste 1Washougal, WA 98671-2589",(360) 907-7062,Brewpub,http://www.54-40brewing.com
550 Brewing,"119 E Chuska StAztec, NM 87410-2110",(505) 486-1094,Brewpub,http://Www.550brew.com
559 Local Brewing,"356 POLLASKY AVE.Clovis, CA 93612",(559) 473-1875,Micro,http://www.fresnobrewingcompany.com
56 Brewing,"3055 Columbia Ave NEMinneapolis, MN 55418-1860",(612) 404-0056,Taproom,http://www.56brewing.com
575 Brewing Company,"234 W 8th StAlamogordo, NM 88310",(575) 921-5739,Taproom,http://www.575brewing.co
5ive Cities Brewing,"2255 Falcon AveBettendorf , IA 52722",(563) 232-6105,Taproom,http://www.fivecitiesbrewing.com
5x5 Brewing Co.,"801 N Bryan Rd Ste 174Mission, TX 78572-6215",(956) 445-5421,Micro,http://www.5x5brewing.com
"6 Bears & A Goat Brewing Company, LLC","1140 International PkwyFredericksburg, VA 22406-1126",540-356-9056 Ext. 2,Brewpub,http://www.6bgbrewingco.com
6 Bridges Brewing,"11455 Lakefield Dr Ste 300Johns Creek, GA 30097",(678) 316-8552,Taproom,http://www.sixbridgesbrewing.com
602 Brewing Company,"919 Main StreetBastrop, TX 78602",(512) 321-3577,Brewpub,
603 Brewery,"42 Main StLondonderry, NH 03053",(603) 630-7745,Micro,http://www.603brewery.com
608 Brewing Company,"83 Copeland AveLa Crosse, WI 54603",,Micro,http://www.608brewingcompany.com
612 Brew,"945 Broadway St NEMinneapolis, MN 55413-1471",(612) 964-8939,Micro,http://www.612brew.com
67 Degrees,"158 Grove StreetFranklin, MA 02038",(508) 507-7376,Micro,http://www.67degreesbrewing.com
6A Brewing Company,"406 Route 6AEast Sandwich, MA 02537",(508) 566-3258,Micro,http://www.6abrewing.com
6th and La Brea,"600 South La Brea AveLos Angeles, CA 90036",,Brewpub,http://www.6thlabrea.com
7 Devils Brewing Co,"247 S 2nd StCoos Bay, OR 97420-1642",(541) 808-3738,Micro,http://www.7devilsbrewery.com
7 Dogs Brewpub,"360 W Spring StWytheville, VA 24382",(276) 228-0994,Brewpub,
7 Hermits Brewing Company,"1020 Capitol StEagle, CO 81631-3186",(970) 471-4979,Brewpub,http://www.7hermitsbrewing.com
7 Hills Brewing Company,"1085 Washington StDubuque, IA 52001-4932",(563) 587-8306,Brewpub,http://www.7hillsbrew.com
7 Locks Brewing,"12227 Wilkins AveRockville, MD 20852-1833",(301) 841-7123,Micro,http://www.7locksbrewing.com
7 Mile Brewery,"3156 Route 9 SouthRio Grande, NJ 08242",(609) 365-7777,Taproom,http://www.7milebrew.com
7 Pour 0 Brewery,"631 Second StPortsmouth, OH 45662",(740) 352-2223,Taproom,http://www.7pour0brewery.com
7 Seas Brewing Co,"3006 Judson St. #110Gig Harbor, WA 98335-1226",(253) 514-8129,Micro,http://www.7seasbrewing.com
7 Seas Brewing Co,"2101 Jefferson AveTacoma, WA 98402-1519",(253) 572-7771,Micro,http://www.7seasbrewing.com
7 Sins Brewery,"10593 W Main RdRipley, NY 14775-9746",(716) 581-2090,Taproom,http://www.7sinsbrewery.com
73 & Main Restaurant and Brewery,"1467 N Main StMount Pleasant, NC 28124",(704) 436-2050,Brewpub,http://www.73andmain.com
734 Brewing Company,"15 E Cross StYpsilanti, MI 48198",(734) 649-6453,Taproom,
7th Wave Brewing,"120 N Meadows Rd Ste 8Medfield, MA 02052-1594",(617) 645-3397,Taproom,http://www.7thwavebrewing.com
7venth Sun Brewery,"1012 E Broadway AveDunedin, FL 34698",(727) 733-3013,Taproom,http://www.7venthsun.com
7venth Sun Tampa,"6809 N Nebraska AveTampa, FL 33604-5660",(813) 231-5900,Micro,
8 Bit Brewing Company,"26755 Jefferson Ave Ste FMurrieta, CA 92562-6941",(951) 677-2322,Brewpub,http://www.8bitbrewingcompany.com
8-Bit Aleworks,"1050 N Fairway Dr Bldg F Ste 10Avondale, AZ 85323-5206",(623) 925-1650,Taproom,http://www.8-bitaleworks.com
81Bay Brewing Company,"4465 W Gandy Blvd Ste 600Tampa, FL 33611-3379",(813) 372-2739,Taproom,http://81baybrewco.com
841 Brewhouse,"841 E Milwaukee StWhitewater, WI 53190-2126",(262) 473-8000,Brewpub,
"8one8 Brewing, LLC","8951 De Soto AveCanoga Park, CA 91304",(818) 835-2286,Taproom,http://www.818brewing.com
8th Wonder Brewery,"2202 Dallas StHouston, TX 77003-3519",(713) 397-0072,Micro,http://www.8thwonder.com
903 Brewers,"1718 S Elm StSherman, TX 75090-8725",(214) 243-8090,Brewpub,http://www.903brewers.com
927 Beer Company,"821 Cornwall StCambria, CA 93428-2434",(805) 203-5265,Taproom,http://www.cambriabeerco.com
93 Octane Brewery,"1825 Lincoln HighwaySaint Charles, IL 60174",(630) 549-0332,Micro,http://www.93octanebrewery.com
A Few Old Goats Brewing,"515 8th St SW Ste 228Roanoke, VA 24016",(540) 339-9562,Taproom,
A Homestead Brew,"26685 486th AveValley Springs, SD 57068",(605) 553-5015,Taproom,http://www.ahomesteadbrew.com
A Little Madness Brewing Company,"9838 N Davis HwyPensacola, FL 32514-8122",(724) 875-8622,Taproom,http://www.ALittleMadnessBrewingCompany.com
ALT Brew / Greenview Brewing LLC,"1808 Wright StMadison, WI 53704-2522",(608) 352-3373,Micro,http://www.altbrew.com
ALULU Brew Pub,"2011 S Laflin StChicago, IL 60608-3007",(312) 600-9865,Brewpub,http://www.alulubrew.com
Aardwolf Brewing Company,"1461 Hendricks AveJacksonville, FL 32207-8622",(904) 301-0755,Micro,http://www.aardwolfbrewing.com
Abandon Brewing,"2994 Merritt Hill RdPenn Yan, NY 14527-8938",(585) 209-3276,Taproom,http://www.abandonbrewing.com
Abandoned Building Brewery,"142 Pleasant St Unit 103AEasthampton, MA 01027-2805",(413) 282-7062,Micro,http://www.abandonedbuildingbrewery.com
Abbey Brewing Co,"1115 16th StMiami Beach, FL 33139-2441",(305) 538-8110,Brewpub,
"Abbey Brewing Company, LLC","1305 Forest Service Rd #151Abiquiu, NM 87510",(505) 670-6802,Micro,http://www.abbeybrewing.biz
Aberrant Ales,"219 W Grand River AveHowell, MI 48843",(517) 518-8699,Taproom,http://www.aberrantales.com
Abettor Brewing Company,"301 W Lexington AveWinchester, KY 40391",(859) 749-9474,Taproom,http://www.abettorbeer.com
Abide Brewing Company,"110 Werz Industrial Blvd Ste 130Newnan, GA 30263-5802",(678) 972-6747,Micro,http://www.abidebrewing.com
Abita Brewing Co,"166 Barbee RdCovington, LA 70433-8651",(985) 893-3143,Regional,http://www.abita.com
Abjuration Brewing,"644 Broadway AveMc Kees Rocks, PA 15136-3008",(412) 766-1668,Taproom,http://www.abjurationbrewing.com
Able Baker Brewing,"1510 S. Main StLas Vegas, NV 89104",(702) 581-7742,Brewpub,http://www.ablebakerbrewing.com
Able Ebenezer Brewing Company,"31 Columbia CirMerrimack, NH 03054-4161",(844) 223-2253,Taproom,http://www.ableebenezer.com
Able Seedhouse and Brewery,"1121 Quincy St NEMinneapolis, MN 55413-2773",(612) 405-4642,Micro,http://www.ablebeer.com
Abner's Restaurant Inc / Northern Michigan Beer,"7528 N Woodbridge (M37)Brohman, MI 49312",(231) 689-2295,Brewpub,
Abnormal Beer Company,"16990 Via Tazon Ste 123San Diego, CA 92127",(858) 618-2463,Micro,http://abnormalbeer.co
Abolitionist Ale Works,"129 W Washington StCharles Town, WV 25414-1529",(681) 252-1548,Brewpub,http://www.abolitionistaleworks.com
Abridged Beer Company,"100 Lockett RdKnoxville, TN 37919-4807",(865) 898-9438,Brewpub,http://www.abridgedbeer.com
Absolution Brewing Co,"2878 Columbia StTorrance, CA 90503-3808",(310) 490-4860,Micro,http://www.absolutionbrewingcompany.com
Accomplice Beer Company,"115 W 15th StCheyenne, WY 82001-4564",(307) 632-2337,Brewpub,http://www.accomplicebeer.com
Acopon Brewing Co,"211 W Mercer StDripping Springs, TX 78620-5363",(512) 829-4723,Taproom,http://www.acoponbrewing.com
Acorn Brewing,"2105 Meridian Ave. E. Suite Bedgewood, WA 98371",(253) 517-8899,Brewpub,http://www.acornbeer.com
"Acrospire Brewing, LLC","1650 Butler Plank RdGlenshaw, PA 15116",(412) 334-4547,Micro,http://www.acrospirebrewingco.com
Adam's Northwest Bistro / Twin Rivers Brewing,"104 N Lewis StMonroe, WA 98272-1502",(360) 794-4056,Brewpub,http://www.adamsnwbistro.com
Adamant Brewing and Blending,"1001 Lee Hill Dr Ste 10Boulder, CO 80302",(303) 396-0788,Micro,http://www.adamant.beer
Adams Street Brewery,"17 W Adams StChicago, IL 60603-5502",(312) 427-3170,Brewpub,http://www.adamsstreetbrewery.com
Adelbert's Brewery LLC,"2314 Rutland Dr Ste 100Austin, TX 78758-5273",(512) 662-1462,Micro,http://www.adelbertsbeer.com
Adirondack Pub and Brewery,"33 Canada StLake George, NY 12845-1603",(518) 668-0002,Micro,http://www.adkpub.com
Adirondack Toboggan Company Microbrewery,"202A W Main StGouverneur, NY 13642-1334",(315) 771-6313,Micro,http://www.adktoboggan.net
Admiral Maltings,"661 Howard StSan Francisco, CA 94105",,Proprietor,http://www.admiralmaltings.com
Adobe Creek Brewing Company,"67 Galli Dr Ste ENovato, CA 94949-5718",(415) 506-4565,Taproom,http://www.adobecreekbrewing.com
Adroit Theory Brewing Company,"404 Browning Ct Unit CPurcellville, VA 20132-6171",(703) 434-0553,Micro,http://www.adroit-theory.com
Adventure Brewing Co,"33 Perchwood Dr Ste 101Fredericksburg, VA 22405-4552",(540) 242-8876,Taproom,http://www.adventurebrewing.com
Adventurous Brewing,"2338 Oak StBettendorf, IA 52722",(309) 631-7709,Micro,
Aeronaut Brewing Company,"14 Tyler StSomerville, MA 02143-3224",(617) 987-4236,Taproom,http://www.aeronautbrewing.com
Aftershock Brewing Company,"28822 Old Town Front St Ste 107Temecula, CA 92590-2893",(951) 972-2256,Taproom,http://www.aftershockbrewingco.com
Afterthought Brewing Company,"844 N Ridge AveLombard, IL 60148-1215",(630) 301-1615,Micro,http://afterthoughtbrewing.com
Against the Grain Brewery,"401 E Main StLouisville, KY 40202-1110",(502) 515-0174,Micro,http://atgbrewery.com
Against the Grain Production Facility,"1800 Northwestern PkwyLouisville, KY 40203",,Micro,
Against the Grain Public House,"1576 Bardstown RdLouisville, KY 40205",(502) 515-0174,Brewpub,
Ahnapee Brewery,"N9153 Cherry Tree Rd Apt 4Algoma, WI 54201-9501",(920) 217-8527,Micro,http://www.ahnapeebrewery.com
Aiken Brewing Co,"140 Laurens St SWAiken, SC 29801-3848",(803) 502-0707,Brewpub,http://www.aikenbrewingcompany.com
Airline Brewing Company,"132 PEAKED MTN DRAmherst, ME 04605-8485",(207) 584-2337,Taproom,http://www.abcmaine.beer
Airways Brewing Co,"8611 S 212th StKent, WA 98031-1910",(253) 200-1707,Taproom,http://www.airwaysbrewing.com
Aisle 5,"3320 Grand AveOakland, CA 94610",(510) 879-7053,Brewpub,http://http://aisle5oakland.com/
Aistear Brewing,"1037 N Main StBowling Green, OH 43402",(419) 606-3478,Taproom,http://https://facebook.com/aistearbrewing/
Akademia Brewing Company,"150 Crane DrAthens, GA 30606-0600",(706) 461-3208,Brewpub,http://www.AkademiaBC.com
Akasha Brewing Company,"909 E Market St Ste 700Louisville, KY 40206-1688",(502) 742-7770,Taproom,http://www.akashabrewing.com
